,SN_ratio,TF,TSS_distance,TU,condition,fold_change,p_value,peak,start,stop,log_SN,log_pval
620,4.53,fnr,,metK-yqgC,Nitrate,,,,3084255,3084560,,
621,4.53,fnr,,speA-speB-yqgB-yqgD,Nitrate,,,,3084255,3084560,,
622,11.19,fnr,,hybABCDEFGO-yghW,Nitrate/Anaerobic,,,,3144260,3144589,,
623,3.95,fnr,,yghA,Nitrate,,,,3147210,3147781,,
624,3.95,fnr,,yqhA,Nitrate,,,,3147210,3147781,,
625,4.26,fnr,,yghB,Nitrate/Anaerobic,,,,3151464,3151697,,
626,19.34,fnr,,uxaAC,Nitrate/Anaerobic,,,,3242629,3243193,,
627,19.34,fnr,,exuT,Nitrate/Anaerobic,,,,3242629,3243193,,
628,3.64,fnr,,tdcR-yhaBC,Anaerobic,,,,3265477,3265748,,
629,5.94,fnr,,garKLPR-rnpB,Anaerobic,,,,3273154,3273500,,
630,5.94,fnr,,garD,Anaerobic,,,,3273154,3273500,,
631,7.37,fnr,,yhbUV,Nitrate/Anaerobic,,,,3299318,3299760,,
632,7.37,fnr,,yhbST,Nitrate/Anaerobic,,,,3299318,3299760,,
633,6.15,fnr,,infB-metY-nusA-pnp-rbfA-rimP-rpsO-truB,Nitrate,,,,3316235,3316635,,
634,6.15,fnr,,argG,Nitrate,,,,3316235,3316635,,
635,6.24,fnr,,leuU-secG,Nitrate,,,,3320151,3320668,,
636,6.94,fnr,,rplU-rpmA,Nitrate,,,,3331189,3331701,,
637,6.94,fnr,,ispB,Nitrate,,,,3331189,3331701,,
638,6.32,fnr,,gltBDF,Nitrate/Anaerobic,,,,3351968,3352343,,
639,6.32,fnr,,yhcC,Nitrate/Anaerobic,,,,3351968,3352343,,
640,5.75,fnr,,cysG-nirBCD,Nitrate/Anaerobic,,,,3491858,3492242,,
641,7.17,fnr,,asd,Anaerobic,,,,3572961,3573386,,
642,7.17,fnr,,yhgN,Anaerobic,,,,3572961,3573386,,
643,6.6,fnr,,nikABCDER,Nitrate/Anaerobic,,,,3611421,3611733,,
644,4.74,fnr,,pitA,Nitrate/Anaerobic,,,,3635513,3635921,,
645,4.74,fnr,,yhiN,Nitrate/Anaerobic,,,,3635513,3635921,,
646,5.57,fnr,,uspA,Nitrate/Anaerobic,,,,3637554,3638025,,
647,5.57,fnr,,uspB,Nitrate/Anaerobic,,,,3637554,3638025,,
648,6.56,fnr,,yibN,Anaerobic,,,,3782782,3783328,,
649,6.56,fnr,,envC-gpmM-yibQ,Anaerobic,,,,3782782,3783328,,
650,7.49,fnr,,dnaA-dnaN-recF,Nitrate,,,,3882047,3882601,,
651,7.49,fnr,,rnpA-rpmH,Nitrate,,,,3882047,3882601,,
652,3.21,fnr,,ravA-viaA,Nitrate/Anaerobic,,,,3929133,3929421,,
653,3.21,fnr,,kup,Nitrate/Anaerobic,,,,3929133,3929421,,
654,4.29,fnr,,katG,Nitrate/Anaerobic,,,,4131553,4131899,,
655,3.78,fnr,,acs-actP-yjcH,Nitrate/Anaerobic,,,,4285636,4285952,,
656,3.78,fnr,,nrfABCDEFG,Nitrate/Anaerobic,,,,4285636,4285952,,
657,4.39,fnr,,groLS,Anaerobic,,,,4368267,4368629,,
658,4.39,fnr,,yjeH,Anaerobic,,,,4368267,4368629,,
659,6.2,fnr,,frdABCD,Anaerobic,,,,4380104,4380617,,
660,6.2,fnr,,poxA,Anaerobic,,,,4380104,4380617,,
661,5.1,fnr,,purA-yjeT,Nitrate/Anaerobic,,,,4402547,4402859,,
662,5.15,fnr,,nrdDG,Anaerobic,,,,4460936,4461436,,
663,3.65,fnr,,hsdMRS,Nitrate,,,,4584625,4584929,,
664,3.65,fnr,,mrr,Nitrate,,,,4584625,4584929,,
665,9.28,fnr,,yjjZ,Nitrate,,,,4603825,4604367,,
666,9.28,fnr,,fhuF-leuPQV,Nitrate,,,,4603825,4604367,,
667,3.06,fnr,,arcA,Nitrate/Anaerobic,,,,4638482,4638719,,
668,3.06,fnr,,yjjY,Nitrate/Anaerobic,,,,4638482,4638719,,
